2023-24 TEAM ROSTER,,,,,,,,,
PLAYER,NO.,POS,HEIGHT,WEIGHT,BIRTHDATE,AGE,EXP,SCHOOL,HOW ACQUIRED
RaiQuan Gray,#0,F,7-Jun,269 lbs,7-Jul-99,24,1,Florida State,Signed on 09/27/23
Victor Wembanyama,#1,F-C,4-Jul,210 lbs,4-Jan-04,20,R,Metropolitans 92,#1 Pick in 2023 Draft
Keldon Johnson,#3,F-G,5-Jun,220 lbs,11-Oct-99,24,4,Kentucky,#29 Pick in 2019 Draft
Devonte' Graham,#4,G,1-Jun,195 lbs,22-Feb-95,29,5,Kansas,Traded from NOP on 02/09/23
Jeremy Sochan,#10,F,8-Jun,230 lbs,20-May-03,20,1,Baylor,#9 Pick in 2022 Draft
Blake Wesley,#14,G,3-Jun,185 lbs,16-Mar-03,20,1,Notre Dame,#25 Pick in 2022 Draft
Cedi Osman,#16,F,7-Jun,230 lbs,8-Apr-95,28,6,Anadolu Efes,Traded from CLE on 07/06/23
Jamaree Bouyea,#21,G,2-Jun,180 lbs,27-Jun-99,24,1,San Francisco,Signed on 03/02/24
Malaki Branham,#22,F,4-Jun,180 lbs,12-May-03,20,1,Ohio State,#20 Pick in 2022 Draft
Zach Collins,#23,F-C,11-Jun,250 lbs,19-Nov-97,26,5,Gonzaga,Signed on 08/11/21
Devin Vassell,#24,G-F,5-Jun,200 lbs,23-Aug-00,23,3,Florida State,#11 Pick in 2020 Draft
Sidy Cissoko,#25,G,6-Jun,200 lbs,2-Apr-04,19,R,NBA G League Ignite,#44 Pick in 2023 Draft
Dominick Barlow,#26,F,9-Jun,215 lbs,26-May-03,20,1,Overtime Elite,Signed on 07/10/22
Charles Bassey,#28,C-F,10-Jun,230 lbs,28-Oct-00,23,2,Western Kentucky,Signed on 10/24/22
David Duke Jr.,#28,G,4-Jun,204 lbs,13-Oct-99,24,2,Providence,Signed on 12/14/23
Julian Champagnie,#30,F,7-Jun,217 lbs,29-Jun-01,22,1,St. John's,
Tre Jones,#33,G,1-Jun,185 lbs,8-Jan-00,24,3,Duke,#41 Pick in 2020 Draft
Sandro Mamukelashvili,#54,F-C,9-Jun,240 lbs,23-May-99,24,2,Seton Hall,
