Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Keldon Johnson,24,"$20,000,000 ","$19,000,000 ","$17,500,000 ","$17,500,000 ",,,"$74,000,000 "
Marcus Morris,34,"$17,116,279 ",,,,,,"$17,116,279 "
Victor Wembanyama,20,"$12,160,680 ","$12,768,960 ","$13,376,880 ","$16,868,246 ",,,"$24,929,640 "
Devonte' Graham,29,"$12,100,000 ","$12,650,000 ",,,,,"$14,950,000 "
Tre Jones,24,"$9,895,833 ","$9,104,167 ",,,,,"$19,000,000 "
Zach Collins,26,"$7,700,000 ","$16,741,200 ","$18,080,496 ",,,,"$42,521,696 "
Cedi Osman,28,"$6,718,842 ",,,,,,"$6,718,842 "
Devin Vassell,23,"$5,887,899 ","$29,347,826 ","$27,000,000 ","$27,000,000 ","$24,652,174 ","$27,000,000 ","$140,887,899 "
Jeremy Sochan,20,"$5,316,960 ","$5,570,040 ","$7,096,231 ",,,,"$10,887,000 "
Malaki Branham,20,"$3,071,880 ","$3,217,920 ","$4,962,033 ",,,,"$6,289,800 "
Julian Champagnie,22,"$3,000,000 ","$3,000,000 ","$3,000,000 ","$3,000,000 ",,,"$3,000,000 "
Charles Bassey,23,"$2,600,000 ","$2,500,000 ","$2,500,000 ",,,,"$2,600,000 "
Blake Wesley,20,"$2,504,640 ","$2,624,280 ","$4,726,328 ",,,,"$5,128,920 "
Sandro Mamukelashvili,24,"$2,019,706 ",,,,,,"$2,019,706 "
Sidy Cissoko,19,"$1,119,563 ","$1,891,857 ","$2,221,677 ",,,,"$5,233,097 "
David Duke Jr.,24,,,,,,,
Mamadi Diakite,27,,,,,,,
Dominick Barlow,20,,,,,,,
,,,,,,,,
Reggie Bullock,32,"$11,014,080 ",,,,,,"$11,014,080 "
Khem Birch,31,"$6,985,000 ",,,,,,"$6,985,000 "
Cameron Payne,29,"$6,500,000 ",,,,,,"$6,500,000 "
Joshua Primo,21,"$4,341,600 ",,,,,,"$4,341,600 "
Lamar Stevens,26,"$400,000 ",,,,,,"$400,000 "
Team Totals,,"$140,452,962 ","$118,416,250 ","$100,463,645 ","$64,368,246 ","$24,652,174 ","$27,000,000 ","$404,523,559 "
